pair_a,pair_b,n_detections,first_seen,last_seen,mean_rssi,best_rssi
Aja,Annie,2,2026-03-13 01:46:22+00:00,2026-03-13 05:52:25+00:00,-52.0,-50
Aja,Blaise,2,2026-03-12 02:56:08+00:00,2026-03-13 07:01:12+00:00,-52.0,-49
Aja,Cameron,2,2026-03-11 21:06:04+00:00,2026-03-13 06:40:39+00:00,-64.0,-55
Aja,Emily,2,2026-03-11 03:55:54+00:00,2026-03-13 07:19:45+00:00,-59.0,-58
Annie,Emily,2,2026-03-13 05:12:24+00:00,2026-03-13 06:39:45+00:00,-54.5,-54
Aja,Georgia,2,2026-03-13 06:38:55+00:00,2026-03-13 06:46:25+00:00,-29.5,-29
Aja,Lotus,2,2026-03-13 04:06:23+00:00,2026-03-13 05:53:47+00:00,-46.0,-45
Aja,Kaelah,2,2026-03-13 06:52:58+00:00,2026-03-13 07:26:25+00:00,-18.5,-18
Aja,Ned,2,2026-03-13 05:56:24+00:00,2026-03-13 06:42:41+00:00,-45.0,-45
Aja,Ollie,2,2026-03-13 06:55:49+00:00,2026-03-13 07:06:25+00:00,-34.0,-33
Aja,Sophie,2,2026-03-13 07:06:25+00:00,2026-03-13 07:11:20+00:00,-43.0,-43
Aja,Shinny,2,2026-03-13 04:52:25+00:00,2026-03-13 06:36:25+00:00,-44.5,-44
Annie,Hannah,2,2024-05-22 07:15:33+00:00,2024-06-06 05:50:13+00:00,-87.0,-87
Annie,Georgia,2,2026-03-13 00:18:50+00:00,2026-03-13 05:22:24+00:00,-53.5,-51
Annie,Blaise,2,2026-03-12 01:22:03+00:00,2026-03-12 10:30:39+00:00,-61.0,-57
Annie,Cameron,2,2026-03-12 06:02:07+00:00,2026-03-12 06:10:15+00:00,-42.0,-39
Annie,Ned,2,2026-03-12 21:02:18+00:00,2026-03-13 00:32:37+00:00,-55.0,-52
Annie,Lotus,2,2026-03-11 22:13:25+00:00,2026-03-13 01:12:20+00:00,-58.5,-54
Annie,Kaelah,2,2026-03-13 02:32:55+00:00,2026-03-13 06:32:25+00:00,-50.0,-49
Annie,Izzy,2,2026-03-13 04:48:26+00:00,2026-03-13 06:42:25+00:00,-43.0,-41
Robbie,ShooShoo,2,2025-11-17 04:22:39+00:00,2025-11-17 07:09:33+00:00,-66.5,-63
Ollie,Shinny,2,2026-03-13 06:05:48+00:00,2026-03-13 07:02:27+00:00,-43.5,-42
